task,subject_id,session,condition,count_correct
PC,8048,1,1,28
PC,8048,1,2,24
PC,8056,1,1,24
PC,8056,1,2,20
PC,8039,2,1,29
PC,8039,2,2,24
PC,8060,1,1,22
PC,8060,1,2,20
PC,8047,2,1,28
PC,8047,2,2,21
PC,8011,3,1,27
PC,8011,3,2,24
PC,8038,2,1,31
PC,8038,2,2,24
PC,8046,2,1,24
PC,8046,2,2,21
PC,8023,2,1,27
PC,8023,2,2,14
PC,8037,2,1,24
PC,8037,2,2,20
PC,9009,3,1,28
PC,9009,3,2,21
PC,8054,2,1,22
PC,8054,2,2,16
PC,9024,2,1,19
PC,9024,2,2,13
PC,8051,2,1,22
PC,8051,2,2,14
PC,8035,3,1,25
PC,8035,3,2,20
PC,8026,3,1,24
PC,8026,3,2,23
PC,9023,2,1,22
PC,9023,2,2,19
PC,8067,1,1,21
PC,8067,1,2,21
PC,9031,1,1,24
PC,9031,1,2,20
PC,8064,1,1,25
PC,8064,1,2,20
PC,8068,1,1,20
PC,8068,1,2,14
PC,7166,1,1,26
PC,7166,1,2,23
PC,7170,1,1,30
PC,7170,1,2,21
PC,7175,1,1,23
PC,7175,1,2,22
PC,7176,1,1,27
PC,7176,1,2,20
PC,7186,1,1,28
PC,7186,1,2,21
PC,7188,1,1,28
PC,7188,1,2,22
PC,7197,1,1,24
PC,7197,1,2,20
PC,7201,1,1,17
PC,7201,1,2,12
PC,7181,1,1,27
PC,7181,1,2,23
PC,7215,1,1,19
PC,7215,1,2,16
PC,7055,1,1,20
PC,7055,1,2,17
PC,7208,1,1,23
PC,7208,1,2,20
PC,7214,1,1,28
PC,7214,1,2,23
PC,7219,1,1,23
PC,7219,1,2,14
PC,7199,1,1,24
PC,7199,1,2,19
PC,7171,1,1,34
PC,7171,1,2,23
PC,7223,1,1,25
PC,7223,1,2,18
PC,7700,1,1,20
PC,7700,1,2,10
PC,7701,1,1,23
PC,7701,1,2,18
PC,9021,1,1,21
PC,9021,1,2,16
PC,9005,3,1,21
PC,9005,3,2,16
PC,8053,2,1,27
PC,8053,2,2,22
PC,8040,2,1,24
PC,8040,2,2,19
PC,8050,2,1,29
PC,8050,2,2,22
PC,8019,3,1,28
PC,8019,3,2,19
PC,8009,1,1,29
PC,8009,1,2,23
PC,9010,2,1,31
PC,9010,2,2,21
PC,9019,2,1,26
PC,9019,2,2,21
PC,9017,2,1,26
PC,9017,2,2,22
PC,8063,1,1,25
PC,8063,1,2,19
PC,8016,3,1,16
PC,8016,3,2,14
PC,8014,3,1,27
PC,8014,3,2,22
PC,9013,3,1,29
PC,9013,3,2,22
PC,8048,2,1,22
PC,8048,2,2,21
PC,8060,2,1,31
PC,8060,2,2,23
PC,8070,1,1,29
PC,8070,1,2,23
PC,7165,1,1,25
PC,7165,1,2,19
PC,7164,1,1,21
PC,7164,1,2,14
PC,7172,1,1,20
PC,7172,1,2,17
PC,7147,1,1,23
PC,7147,1,2,19
PC,7174,1,1,22
PC,7174,1,2,16
PC,7180,1,1,25
PC,7180,1,2,22
PC,7177,1,1,23
PC,7177,1,2,21
PC,7192,1,1,30
PC,7192,1,2,20
PC,7191,1,1,19
PC,7191,1,2,14
PC,7183,1,1,27
PC,7183,1,2,22
PC,7190,1,1,23
PC,7190,1,2,16
PC,7194,1,1,23
PC,7194,1,2,18
PC,7203,1,1,20
PC,7203,1,2,17
PC,7206,1,1,23
PC,7206,1,2,15
PC,7207,1,1,21
PC,7207,1,2,15
PC,7216,1,1,26
PC,7216,1,2,19
PC,7212,1,1,21
PC,7212,1,2,15
PC,7195,1,1,23
PC,7195,1,2,20
PC,7213,1,1,21
PC,7213,1,2,19
PC,7225,1,1,22
PC,7225,1,2,17
PC,7220,1,1,22
PC,7220,1,2,19
PC,7702,1,1,23
PC,7702,1,2,14
PC,9013,2,1,30
PC,9013,2,2,23
PC,9023,1,1,27
PC,9023,1,2,22
PC,9024,1,1,22
PC,9024,1,2,13
PC,9015,2,1,26
PC,9015,2,2,21
PC,8020,3,1,18
PC,8020,3,2,13
PC,8061,1,1,28
PC,8061,1,2,25
PC,8031,3,1,28
PC,8031,3,2,22
PC,8017,3,1,32
PC,8017,3,2,19
PC,8036,2,1,18
PC,8036,2,2,15
PC,8032,2,1,24
PC,8032,2,2,20
PC,8052,2,1,26
PC,8052,2,2,21
PC,8030,3,1,26
PC,8030,3,2,21
PC,9021,2,1,17
PC,9021,2,2,16
PC,8058,1,1,32
PC,8058,1,2,22
PC,8065,1,1,26
PC,8065,1,2,19
PC,8012,3,1,32
PC,8012,3,2,23
PC,8056,2,1,32
PC,8056,2,2,24
PC,9028,1,1,28
PC,9028,1,2,21
PC,1,1,1,15
PC,1,1,2,17
PC,7161,1,1,23
PC,7161,1,2,21
PC,7168,1,1,27
PC,7168,1,2,21
PC,7167,1,1,32
PC,7167,1,2,22
PC,7187,1,1,21
PC,7187,1,2,17
PC,7182,1,1,22
PC,7182,1,2,15
PC,7189,1,1,23
PC,7189,1,2,19
PC,7173,1,1,24
PC,7173,1,2,20
PC,7187,1,1,24
PC,7187,1,2,15
PC,7196,1,1,20
PC,7196,1,2,11
PC,7200,1,1,26
PC,7200,1,2,20
PC,7211,1,1,19
PC,7211,1,2,20
PC,7209,1,1,23
PC,7209,1,2,19
PC,7204,1,1,25
PC,7204,1,2,16
PC,7218,1,1,16
PC,7218,1,2,10
PC,7221,1,1,23
PC,7221,1,2,21
PC,7202,1,1,26
PC,7202,1,2,24
LC,8048,1,1,21
LC,8048,1,2,14
LC,8056,1,1,18
LC,8056,1,2,8
LC,8039,2,1,23
LC,8039,2,2,15
