task,subject_id,session,n_total,n_switch,n_repeat,mean_rt_switch,mean_rt_repeat,switch_cost
ATS,0,33,52,28,23,700.3928571428571,669.304347826087,31.088509316770114
ATS,1,1,118,35,82,815.0571428571428,916.5243902439024,-101.4672473867596
ATS,1474,1,135,35,99,867.0285714285715,941.1212121212121,-74.09264069264066
ATS,8000,1,103,34,68,785.2647058823529,892.1911764705883,-106.92647058823536
ATS,8000,2,121,35,85,875.7714285714286,955.4,-79.62857142857138
ATS,8000,3,126,35,90,873.0571428571428,913.9888888888889,-40.931746031746115
ATS,8001,1,134,35,98,937.2,946.5612244897959,-9.361224489795859
ATS,8002,1,109,35,73,871.3142857142857,1008.054794520548,-136.74050880626226
ATS,8002,2,117,34,82,822.2941176470588,908.5,-86.20588235294122
ATS,8002,3,133,35,97,805.8285714285714,831.1443298969073,-25.315758468335844
ATS,8003,1,93,35,57,756.2285714285714,800.8947368421053,-44.66616541353392
ATS,8003,2,133,35,97,769.7714285714286,868.1030927835052,-98.33166421207659
ATS,8003,3,129,35,93,744.9714285714285,864.8817204301075,-119.91029185867899
ATS,8004,1,113,35,77,1046.2857142857142,1039.7142857142858,6.5714285714284415
ATS,8004,2,124,35,88,1051.0285714285715,1089.3636363636363,-38.33506493506479
ATS,8004,3,104,35,68,1062.7714285714285,1118.6323529411766,-55.86092436974809
ATS,8005,1,134,35,98,707.8,684.3775510204082,23.422448979591763
ATS,8005,2,126,34,91,730.9411764705883,725.7692307692307,5.171945701357572
ATS,8005,3,138,35,102,614.4,699.156862745098,-84.75686274509803
ATS,8006,1,130,35,94,733.1428571428571,865.3191489361702,-132.1762917933131
ATS,8006,2,136,35,100,706.0285714285715,731.85,-25.821428571428555
ATS,8006,3,141,35,105,667.1142857142858,688.5714285714286,-21.4571428571428
ATS,8007,1,109,35,73,870.9714285714285,791.5753424657535,79.39608610567507
ATS,8008,1,115,35,79,1004.1142857142858,1080.26582278481,-76.15153707052434
ATS,8008,2,98,35,62,923.8,981.3225806451613,-57.52258064516138
ATS,8008,3,121,35,85,1085.3428571428572,1108.6235294117646,-23.280672268907438
ATS,8009,1,101,35,65,915.4857142857143,870.5230769230769,44.96263736263734
ATS,8009,2,128,35,92,792.3142857142857,849.3152173913044,-57.000931677018684
ATS,8009,3,120,35,84,765.6285714285714,870.6071428571429,-104.97857142857151
ATS,8011,1,130,35,94,853.4285714285714,871.9148936170212,-18.486322188449776
ATS,8011,2,130,35,94,827.1142857142858,885.4255319148937,-58.31124620060791
ATS,8011,3,132,35,96,799.3714285714286,829.6354166666666,-30.263988095238005
ATS,8012,1,131,35,95,850.5714285714286,963.4421052631579,-112.87067669172939
ATS,8012,2,135,35,99,892.8,895.020202020202,-2.2202020202020094
ATS,8012,3,139,35,103,800.6285714285714,882.1262135922331,-81.49764216366168
ATS,8014,1,140,35,104,815.5142857142857,881.2980769230769,-65.78379120879117
ATS,8014,2,140,35,104,827.7142857142857,784.0,43.714285714285666
ATS,8014,3,139,35,103,821.9428571428572,826.0388349514564,-4.095977808599173
ATS,8015,1,114,35,78,790.0,857.4615384615385,-67.46153846153845
ATS,8016,1,128,35,92,851.1142857142858,940.0217391304348,-88.907453416149
ATS,8016,2,139,35,103,951.0857142857143,977.6504854368932,-26.56477115117889
ATS,8016,3,125,35,89,928.9142857142857,977.943820224719,-49.029534510433336
ATS,8017,1,108,35,72,809.8,870.8055555555555,-61.00555555555559
ATS,8017,2,116,35,80,788.2857142857143,920.8625,-132.57678571428562
ATS,8017,3,117,35,81,866.2571428571429,937.2716049382716,-71.01446208112873
ATS,8018,1,93,33,59,962.7575757575758,1010.1016949152543,-47.344119157678506
ATS,8018,2,117,35,81,887.7428571428571,960.1604938271605,-72.41763668430337
ATS,8018,3,116,35,80,912.2571428571429,985.4625,-73.20535714285711
ATS,8019,1,107,34,72,943.6176470588235,971.625,-28.007352941176464
ATS,8019,2,106,35,70,886.3428571428572,872.2428571428571,14.100000000000023
ATS,8019,3,104,33,70,927.6969696969697,956.5714285714286,-28.87445887445881
ATS,8020,2,90,35,54,970.0571428571428,976.3703703703703,-6.313227513227503
ATS,8020,3,106,35,70,922.4571428571429,949.0142857142857,-26.55714285714282
ATS,8021,1,99,34,64,1004.5294117647059,944.953125,59.576286764705856
ATS,8021,2,110,35,74,876.9142857142857,941.5945945945946,-64.68030888030887
ATS,8022,1,116,35,80,964.8857142857142,937.0625,27.823214285714243
ATS,8022,2,122,35,86,894.3428571428572,923.6860465116279,-29.34318936877071
ATS,8022,3,129,35,93,775.7142857142857,826.7741935483871,-51.05990783410141
ATS,8023,1,89,35,53,979.3714285714286,906.7735849056604,72.59784366576821
ATS,8023,2,119,35,83,919.7142857142857,1003.5060240963855,-83.79173838209988
ATS,8023,3,118,35,82,890.5428571428571,1008.1463414634146,-117.60348432055753
ATS,8024,1,121,35,85,906.5428571428571,898.1647058823529,8.378151260504183
ATS,8024,2,102,35,66,862.6857142857143,960.1969696969697,-97.51125541125543
ATS,8026,1,130,35,94,863.6285714285714,979.4468085106383,-115.81823708206696
ATS,8026,2,114,35,78,727.0285714285715,819.8076923076923,-92.7791208791208
ATS,8026,3,138,35,102,656.3428571428572,684.8725490196078,-28.52969187675069
ATS,8027,2,103,35,67,796.1714285714286,947.4179104477612,-151.2464818763326
ATS,8030,1,122,35,86,856.9714285714285,929.2441860465116,-72.27275747508304
ATS,8030,2,127,35,91,810.2857142857143,850.1428571428571,-39.857142857142776
ATS,8030,3,118,35,82,854.4285714285714,897.2317073170732,-42.80313588850174
ATS,8031,1,105,35,69,810.0,976.9130434782609,-166.91304347826087
ATS,8031,2,122,35,86,850.6285714285714,1036.0,-185.37142857142862
ATS,8031,3,119,35,83,768.8571428571429,940.9638554216867,-172.10671256454384
ATS,8032,1,106,34,71,844.7647058823529,984.0704225352113,-139.30571665285834
ATS,8032,2,135,35,99,750.6,822.1717171717172,-71.57171717171718
ATS,8032,3,134,35,98,761.6,791.6122448979592,-30.012244897959135
ATS,8034,1,92,35,56,829.2,866.7678571428571,-37.567857142857065
ATS,8035,1,108,35,72,883.4571428571429,1055.5,-172.0428571428571
ATS,8035,2,119,35,83,838.3428571428572,951.6385542168674,-113.29569707401026
ATS,8035,3,120,35,84,955.9142857142857,967.5119047619048,-11.597619047619105
ATS,8036,1,99,31,67,1005.5806451612904,969.8059701492538,35.774675012036596
ATS,8036,2,112,35,76,919.8,934.0,-14.200000000000045
ATS,8036,3,99,34,64,1067.4117647058824,1096.53125,-29.119485294117567
ATS,8037,1,112,35,76,854.2857142857143,906.4605263157895,-52.174812030075145
ATS,8037,2,91,34,56,1099.9705882352941,1102.767857142857,-2.797268907562966
ATS,8037,3,118,34,83,873.4705882352941,957.8313253012049,-84.36073706591071
