task,subject_id,session,block_1,block_2,block_3,block_4,block_5,distraction,immediate,delay
DWL,8052,1,10,11,13,14,14,3,11,11
DWL,9019,1,9,14,14,12,14,5,12,12
DWL,8027,2,5,10,14,14,12,6,0,11
DWL,9018,1,11,14,14,14,14,9,13,13
DWL,8048,1,8,14,14,14,14,10,13,13
DWL,8056,1,6,8,11,11,11,7,7,10
DWL,8039,2,8,11,12,12,14,6,7,8
DWL,8060,1,8,14,14,14,14,5,13,13
DWL,8047,2,6,12,13,14,14,7,12,12
DWL,8011,3,11,14,14,13,13,13,13,13
DWL,8038,2,5,9,12,13,14,1,14,13
DWL,8046,2,5,11,12,14,15,5,14,12
DWL,8023,2,6,9,14,15,14,5,13,13
DWL,8037,2,6,12,13,14,13,4,13,10
DWL,9009,3,9,14,13,13,14,7,13,12
DWL,8054,2,6,9,14,14,15,10,0,13
DWL,9024,2,5,10,14,14,14,5,10,10
DWL,8051,2,9,10,12,13,12,6,9,8
DWL,8035,3,7,11,10,13,13,4,11,11
DWL,8026,3,10,13,14,14,14,10,12,13
DWL,9023,2,8,13,14,14,14,11,13,13
DWL,8067,1,3,9,9,13,15,5,10,12
DWL,7136,1,7,10,13,13,7,3,6,8
DWL,7158,1,7,7,15,14,14,6,11,10
DWL,7159,1,8,10,14,14,13,5,13,11
DWL,7166,1,6,8,13,13,12,4,12,13
DWL,7170,1,7,11,13,14,13,3,13,14
DWL,7175,1,6,12,12,13,13,7,12,12
DWL,7176,1,5,10,10,5,12,3,8,6
DWL,7186,1,3,9,14,12,15,6,11,12
DWL,7188,1,4,9,13,13,14,3,12,11
DWL,7197,1,7,14,15,14,15,5,12,12
DWL,7201,1,6,9,9,8,13,10,5,7
DWL,7181,1,5,11,12,12,12,5,8,9
DWL,7215,1,11,11,14,13,13,9,13,13
DWL,7055,1,7,10,11,13,13,6,12,14
DWL,7208,1,8,12,15,14,14,8,12,12
DWL,7214,1,8,11,13,14,13,6,6,10
DWL,7219,1,7,10,11,13,13,5,10,9
DWL,7199,1,9,13,13,14,14,9,13,10
DWL,7171,1,12,14,14,14,14,13,13,13
DWL,7223,1,7,11,15,14,14,6,10,12
DWL,7700,1,10,13,14,13,14,6,13,13
DWL,9020,1,10,15,15,15,15,9,14,14
DWL,8003,3,11,14,15,14,15,9,13,14
DWL,8035,2,12,14,15,15,15,3,14,14
DWL,8051,1,8,13,14,15,14,3,12,13
DWL,9021,1,11,12,13,14,15,9,13,13
DWL,9005,3,9,13,13,14,13,7,13,13
DWL,8053,2,9,12,15,14,12,8,11,12
DWL,8040,2,10,15,15,14,15,13,14,14
DWL,8050,2,9,15,15,15,15,7,14,14
DWL,8019,3,10,13,15,15,15,10,14,14
DWL,8009,1,12,13,14,15,15,9,14,14
DWL,9010,2,11,14,15,15,15,8,14,14
DWL,9019,2,9,10,15,14,15,11,11,11
